# eBE(cm-1)  int. (rel. X0)  beta
12358.354      0.49114      -0.15488
12363.934      0.47622       0.23685
12369.490      0.42956       1.09076
12375.022      0.36299       1.89172
12380.530      0.31364       1.71394
12386.014      0.30911       0.57287
12391.474      0.39525      -0.45978
12396.910      0.50466      -0.72935
12402.322      0.66396      -0.65996
12407.710      0.87448      -0.37583
12413.074      0.99452      -0.13387
12418.414      1.00000      -0.09738
12423.730      0.95374      -0.26814
12429.022      0.87483      -0.38171
12434.290      0.82077      -0.27319
12439.534      0.76756      -0.02561
12444.754      0.76482       0.21312
12449.950      0.76803       0.19189
12455.122      0.70668       0.16570
12460.270      0.60587       0.11506
12465.394      0.51013      -0.02137
12470.494      0.54456      -0.38451
12475.570      0.56564      -0.52141
12480.622      0.55825      -0.36060
12485.650      0.52580      -0.25888
12490.654      0.55823      -0.32612
12495.634      0.49984      -0.39053
12500.590      0.41394      -0.19450
12505.522      0.45698      -0.12698
12510.430      0.55793      -0.27818
12515.314      0.64200      -0.40935
12520.174      0.63247      -0.38348
12525.010      0.62992      -0.34499
12529.822      0.44577      -0.10975
12534.610      0.27617       0.00603
12539.374      0.21329      -0.55189
12544.114      0.25868      -0.60680
12548.830      0.44559      -0.25673
12553.522      0.51441      -0.21092
12558.190      0.45018      -0.26760
12562.834      0.26347      -0.26068
12567.454      0.17884       0.01596
12572.050      0.19304      -0.21418
12576.622      0.12164      -0.59082
12581.170      0.09026      -0.11550
12585.694      0.11785      -0.39922
12590.194      0.20212      -0.49940
12594.670      0.19165      -0.17156
12599.122      0.13165      -0.53515
12603.550      0.05739       0.06681
12607.954      0.02538       2.78141
12612.334     -0.00850      -8.36500
12616.690     -0.01569      -2.52863
12621.022      0.01668       0.68390
12625.330      0.06353       0.81796
12629.614      0.05288       0.52833
12633.874      0.06496      -0.36448
12638.110      0.12092      -0.63058
12642.322      0.11335      -1.16845
12646.510      0.03433      -1.20508
12650.674     -0.00199     -28.16035
12654.814     -0.03325      -5.73131
12658.930     -0.02272     -10.22331
12663.022      0.00765      10.15284
12667.090      0.04199      -1.13993
12671.134      0.08322      -1.41722
12675.154      0.09908      -0.79516
12679.150      0.12286      -0.22693
